city,country,city ID,city_latitude,city_longitude,latitude,longitude
norman wells,ca,6089245,65.28149379999999,-126.8286524,65.28149379999999,-126.8286524
shaygino,ru,495470,57.77000109999999,46.86286579999999,57.77000109999999,46.86286579999999
rio grande,br,3451138,-32.0395116,-52.101445,-32.0395116,-52.101445
chambas,cu,3564394,22.1979265,-78.9118506,22.1979265,-78.9118506
la ronge,ca,6050066,55.10823,-105.285989,55.10823,-105.285989
puerto ayora,ec,3652764,-0.7432918,-90.3156893,-0.7432918,-90.3156893
muros,es,6357322,42.8073676,-9.0460525,42.8073676,-9.0460525
santa rosa,ar,3428182,-36.620922,-64.2912369,-36.620922,-64.2912369
bluff,nz,2206939,-46.5996116,168.3457088,-46.5996116,168.3457088
hilo,us,5855927,19.7241106,-155.0868193,19.7241106,-155.0868193
atuona,pf,4020109,-9.803279999999999,-139.0425741,-9.803279999999999,-139.0425741
kieta,pg,2094027,-6.2204747,155.6376301,-6.2204747,155.6376301
husavik,is,2629833,66.0449706,-17.3383442,66.0449706,-17.3383442
east london,za,1006984,-33.0291582,27.8545867,-33.0291582,27.8545867
bredasdorp,za,1015776,-34.5385222,20.0568771,-34.5385222,20.0568771
cidreira,br,3466165,-30.1769388,-50.2089142,-30.1769388,-50.2089142
naron,es,3115739,43.5012892,-8.192374299999999,43.5012892,-8.192374299999999
okhotsk,ru,2122605,59.35845999999999,143.2034909,59.35845999999999,143.2034909
vaini,to,4032243,-21.1935,-175.1751534,-21.1935,-175.1751534
kysyl-syr,ru,2021017,63.89784700000001,122.762485,63.89784700000001,122.762485
odienne,ci,2283016,9.518875399999999,-7.557223100000001,9.518875399999999,-7.557223100000001
khatanga,ru,2022572,71.964027,102.4406129,71.964027,102.4406129
hithadhoo,mv,1282256,-0.6060574,73.0892245,-0.6060574,73.0892245
sao lourenco do sul,br,3448596,-31.3587247,-51.9863149,-31.3587247,-51.9863149
penzance,gb,7294638,50.118798,-5.537592,50.118798,-5.537592
hambantota,lk,1244926,6.1428829,81.12123079999999,6.1428829,81.12123079999999
faanui,pf,4034551,-16.5004126,-151.7414904,-16.5004126,-151.7414904
hegang,cn,2036986,47.349916,130.297964,47.349916,130.297964
ilulissat,gl,3423146,69.2198118,-51.0986031,69.2198118,-51.0986031
tura,ru,2014833,64.2738514,100.2187928,64.2738514,100.2187928
butaritari,ki,7521588,3.1166667,172.8,3.1166667,172.8
port pirie,au,2063030,-33.1708294,138.0088567,-33.1708294,138.0088567
tuktoyaktuk,ca,6170031,69.445358,-133.034181,69.445358,-133.034181
chuy,uy,3443061,-33.692754,-53.4552817,-33.692754,-53.4552817
saint george,bm,3573062,32.3819877,-64.6769793,32.3819877,-64.6769793
alexander city,us,4829843,32.944012,-85.9538532,32.944012,-85.9538532
constitucion,cl,3893726,34.615766,-79.76001169999999,34.615766,-79.76001169999999
new norfolk,au,2155415,-42.7828332,147.0593848,-42.7828332,147.0593848
thompson,ca,6165406,38.23917,-122.28056,38.23917,-122.28056
haines junction,ca,5969025,60.7544541,-137.5117819,60.7544541,-137.5117819
roebourne,au,7839634,-20.7689815,117.1430197,-20.7689815,117.1430197
cape town,za,3369157,-33.9248685,18.4240553,-33.9248685,18.4240553
bartica,gy,3379507,6.4043217,-58.625825,6.4043217,-58.625825
adrar,dz,2508813,27.9716342,-0.1869644,27.9716342,-0.1869644
san patricio,mx,3985168,19.2251985,-104.703973,19.2251985,-104.703973
dolzhanskaya,ru,565456,46.6446145,37.8054336,46.6446145,37.8054336
rikitea,pf,4030556,-23.119901,-134.9702654,-23.119901,-134.9702654
busselton,au,7839477,-33.6554927,115.3500188,-33.6554927,115.3500188
ushuaia,ar,3833367,-54.8019121,-68.3029511,-54.8019121,-68.3029511
santa marinella,it,6541890,42.0584662,11.900579,42.0584662,11.900579
jamestown,sh,3370903,-15.9286343,-5.7151749,-15.9286343,-5.7151749
albany,au,7839657,-35.0275298,117.883959,-35.0275298,117.883959
kodiak,us,5866583,57.79000000000001,-152.4072221,57.79000000000001,-152.4072221
mitsamiouli,km,921786,-11.3871698,43.2980711,-11.3871698,43.2980711
port alfred,za,964432,-33.5864065,26.8851448,-33.5864065,26.8851448
talaya,ru,2120769,55.7868132,84.8928382,55.7868132,84.8928382
ponta do sol,cv,3374346,17.2004826,-25.0925624,17.2004826,-25.0925624
pevek,ru,2122090,69.692947,170.399612,69.692947,170.399612
orchard homes,us,5670128,46.8632567,-114.0484441,46.8632567,-114.0484441
rocky mountain house,ca,6126749,52.37934320000001,-114.9182883,52.37934320000001,-114.9182883
aswan,eg,359792,24.088938,32.8998293,24.088938,32.8998293
fayaoue,nc,2141305,-20.6539376,166.5401527,-20.6539376,166.5401527
mogok,mm,1308937,22.9246742,96.5063095,22.9246742,96.5063095
manicore,br,3663503,-6.511245499999999,-60.9540073,-6.511245499999999,-60.9540073
meulaboh,id,1214488,4.1436951,96.12811459999999,4.1436951,96.12811459999999
bonavista,ca,5905393,48.6533449,-53.11182489999999,48.6533449,-53.11182489999999
guozhen,cn,1809263,34.351432,107.387303,34.351432,107.387303
lugovoy,ru,533618,59.884722,65.89999999999999,59.884722,65.89999999999999
loa janan,id,1637510,-0.7048801,117.0323305,-0.7048801,117.0323305
skjervoy,no,777682,70.033975,20.9736568,70.033975,20.9736568
kapaa,us,5848280,22.0881391,-159.3379818,22.0881391,-159.3379818
sunrise manor,us,5513343,36.2110819,-115.0730563,36.2110819,-115.0730563
mahebourg,mu,934322,-20.4059505,57.7034222,-20.4059505,57.7034222
hobart,au,2163355,-42.8821377,147.3271949,-42.8821377,147.3271949
castro,cl,3896218,-42.4801402,-73.7624137,-42.4801402,-73.7624137
port elizabeth,za,964420,-33.9608369,25.6022423,-33.9608369,25.6022423
vestmannaeyjar,is,3412093,63.437679,-20.267321,63.437679,-20.267321
tumut,au,2145875,-35.3207508,148.2325033,-35.3207508,148.2325033
kiama,au,7839738,-34.6738221,150.8443706,-34.6738221,150.8443706
hualmay,pe,3939761,-11.0883431,-77.61065119999999,-11.0883431,-77.61065119999999
bengkulu,id,1649150,-3.5778471,102.3463875,-3.5778471,102.3463875
lebu,cl,3883457,-37.6097143,-73.6483294,-37.6097143,-73.6483294
carutapera,br,3402648,-1.2046036,-46.0219181,-1.2046036,-46.0219181
shimoda,jp,1852357,34.6795334,138.945316,34.6795334,138.945316
victor harbor,au,7839466,-35.55,138.616667,-35.55,138.616667
tsaratanana,mg,1055059,-16.7918481,47.6479775,-16.7918481,47.6479775
mahina,pf,4034307,-17.5081765,-149.4893628,-17.5081765,-149.4893628
punta arenas,cl,3874787,-53.1638329,-70.9170683,-53.1638329,-70.9170683
srednekolymsk,ru,2121025,67.43730699999999,153.728674,67.43730699999999,153.728674
ishigaki,jp,1861416,24.3406606,124.1555804,24.3406606,124.1555804
hermanus,za,3366880,-34.4092004,19.2504436,-34.4092004,19.2504436
tiksi,ru,2015306,71.6374819,128.8644717,71.6374819,128.8644717
salalah,om,286621,17.0506675,54.1065864,17.0506675,54.1065864
tabou,ci,2281120,5.101151,-7.3516558,5.101151,-7.3516558
narsaq,gl,3421719,60.9129622,-46.0504831,60.9129622,-46.0504831
te anau,nz,2181625,-45.4144515,167.718053,-45.4144515,167.718053
sawtell,au,2150163,-30.3720946,153.0942431,-30.3720946,153.0942431
longyearbyen,sj,2729907,78.22317220000001,15.6267229,78.22317220000001,15.6267229
venado tuerto,ar,3833062,-33.7455566,-61.9690161,-33.7455566,-61.9690161
clyde river,ca,5924351,70.47636500000002,-68.60126509999999,70.47636500000002,-68.60126509999999
necochea,ar,3430443,-38.5544968,-58.73960879999999,-38.5544968,-58.73960879999999
hamilton,bm,3573198,32.2945837,-64.7858887,32.2945837,-64.7858887
vila velha,br,3445026,-20.3477821,-40.2949528,-20.3477821,-40.2949528
waipawa,nz,2206874,-39.9416112,176.5896379,-39.9416112,176.5896379
rocha,uy,3440777,-34.4790141,-54.3352997,-34.4790141,-54.3352997
qaanaaq,gl,3831208,77.4670434,-69.2284827,77.4670434,-69.2284827
alice springs,au,7839681,-23.698042,133.8807471,-23.698042,133.8807471
cabedelo,br,3404558,-7.0402624,-34.8430098,-7.0402624,-34.8430098
bismarck,us,5688025,46.8083268,-100.7837392,46.8083268,-100.7837392
havre-saint-pierre,ca,5972291,50.24181400000001,-63.598569,50.24181400000001,-63.598569
byron bay,au,2172880,-28.6473671,153.601977,-28.6473671,153.601977
cockburn town,tc,3576994,21.4674584,-71.13891009999999,21.4674584,-71.13891009999999
kavieng,pg,2094342,-2.5781167,150.8086082,-2.5781167,150.8086082
nishihara,jp,1855342,26.2228445,127.7588107,26.2228445,127.7588107
mosquera,co,3674292,4.706035,-74.23010099999999,4.706035,-74.23010099999999
morondava,mg,1058381,-20.2904186,44.2999955,-20.2904186,44.2999955
mayumba,ga,2399001,-3.4426092,10.6562606,-3.4426092,10.6562606
torbay,ca,6167817,47.6580777,-52.7355238,47.6580777,-52.7355238
mackay,au,7839593,-21.1424956,149.1821469,-21.1424956,149.1821469
cherskiy,ru,2126199,68.742677,161.3507839,68.742677,161.3507839
yellowknife,ca,6185377,62.4539717,-114.3717887,62.4539717,-114.3717887
mirnyy,ru,526346,62.5313374,113.9773882,62.5313374,113.9773882
katsuura,jp,2112309,35.152283,140.3209324,35.152283,140.3209324
touros,br,3386213,-5.1961669,-35.4635381,-5.1961669,-35.4635381
upernavik,gl,3418910,72.7862882,-56.1375527,72.7862882,-56.1375527
inirida,co,3671450,3.868297,-67.923917,3.868297,-67.923917
