city,country,latitude,longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),city ID
sopelana,es,43.731374166223276,-3.000584765641065,59.61,93,75,19.46,6362425
ushuaia,ar,-68.98671994962372,-53.4356438797176,35.6,93,75,29.97,3833367
banda aceh,id,2.2423174864066198,90.3159915781277,76.28,100,88,1.7,1215501
grand gaube,mu,-15.50546431001655,64.64114931114196,78.8,61,20,11.41,934479
tasiilaq,gl,76.49700251134453,-34.24775191826026,32,100,64,2.24,3424607
bethel,us,44.267362290625925,-165.3780523028681,61.81,93,1,3.36,4182260
busselton,au,-64.60651603377329,89.67310285162296,60.62,100,56,17.58,7839477
bengkulu,id,-8.026159146704316,99.31613954087823,80.74,100,92,6.62,1649150
rikitea,pf,-39.49273099647568,-116.95378245311962,68.36,100,92,11.21,4030556
balaipungut,id,0.5925467263853079,101.82576926956341,84.2,70,40,2.93,1650600
kisangani,cd,0.40180292631283976,26.431391711229026,83.03,76,36,2.71,212730
hami,cn,40.65629499753027,92.92344103932493,72.91,30,8,7.18,1529484
babstovo,ru,47.96990511806874,132.15190899479757,58.28,49,76,10.2,2027277
wamba,cd,2.3316837872541782,28.040971360568506,78.98,78,32,3.04,204318
shimoda,jp,22.766190933069936,143.54849674668736,66.16,100,20,7.63,1852357
nemuro,jp,33.38305993349948,153.29233755752136,53.6,76,75,8.05,2128975
buraydah,sa,26.260443382940352,40.643599680976195,93.2,23,0,9.17,107304
kavieng,pg,11.867163000985599,157.3848907278957,83.89,100,36,7.74,2094342
yankton,us,43.265417924061666,-97.30208367157806,33.08,16,90,10.29,5233053
tekirdag,tr,40.66762304735752,27.745430803805732,62.6,93,75,19.46,738927
ammapettai,in,10.787388979825991,79.27745416487045,89.78,66,44,4.27,1278751
ankang,cn,32.18358889011799,108.14059184180684,57.61,60,80,3.27,1789065
chichimila,mx,20.25703503457116,-88.12038322646296,76.46,96,8,4.16,3530948
touros,br,-1.2793751337051447,-33.45943908765213,77.45,86,68,9.86,3386213
torbay,ca,47.2770590584839,-51.16604364376923,47.5,100,90,12.75,6167817
carnarvon,au,-27.25438078209904,100.37292262147952,70.07,86,0,16.02,2074865
hasaki,jp,24.60099146425766,155.29377697641314,63.28,72,75,5.82,2112802
castro,cl,-48.86083308269108,-101.02043700505668,50.41,100,92,4.94,3896218
hermanus,za,-57.160085845538745,8.229769017751948,71.56,44,0,7.74,3366880
hilo,us,6.291110523653529,-158.92219002820354,73.94,93,90,4.16,5855927
valparaiso,cl,-33.05854688504907,-73.77900254898036,45.34,93,0,5.82,3868626
pangoa,pe,-10.506790272882995,-72.50613627805507,62.69,100,92,2.04,3933104
port lincoln,au,-51.686541975964566,128.3877521448872,67.73,73,68,2.48,7839452
alofi,nu,-19.652269075086835,-167.78524454281418,75.2,94,92,1.12,4036284
sorland,no,72.99229131244778,7.703153595914699,48.2,87,75,2.24,3137469
sidmouth,gb,50.75163089619815,-3.254596623314484,51.8,93,75,10.29,2637853
lagoa,pt,41.19544380198619,-27.771929236926923,60.8,72,0,12.75,8010517
faanui,pf,-8.580863264981957,-151.4249664817869,78.67,100,76,19.15,4034551
puerto ayora,ec,-17.761132626857687,-105.29075774662917,69.76,100,92,10.98,3652764
jamestown,sh,-18.730855873165723,-9.426597448540122,66.83,100,80,18.03,3370903
puri,in,19.380806388686153,85.83941859920776,89.6,66,75,4.7,1259184
provideniya,ru,57.89104444008467,-176.14546334284486,43.84,100,88,24.63,4031574
albany,au,-56.82375165016321,105.43757577050519,61.84,66,24,11.99,7839657
kapaa,us,32.065878486471334,-167.78953625756097,73.06,78,1,3.36,5848280
manono,cd,-6.925724837476039,27.36821351535312,84.34,71,8,4.16,209598
thompson,ca,74.69093065629008,-99.46786545184554,21.2,73,90,6.93,6165406
ancud,cl,-41.530215263446856,-78.87852220733924,51.08,98,92,7.74,3899695
swift current,ca,49.9576129221426,-107.22509460432191,24.8,73,90,11.41,6160603
georgetown,sh,-12.23126285537937,-10.913573297826389,77,69,20,14.99,2411397
namibe,ao,-12.297179901939089,3.2323290692303885,70.52,100,12,5.28,3347019
salta,ar,-25.52819833986834,-66.19845541531245,56.44,82,75,5.82,3838233
kalpi,in,26.07718233560813,79.7969987973625,92.57,34,0,11.99,1268325
barrow,us,82.71029049098368,-169.33449466397286,33.31,100,80,20.71,5880054
kanbe,mm,16.414292454559344,96.0915087589587,93.2,63,40,5.82,1320944
bonavista,ca,51.24388650614446,-51.7824638794952,45.64,100,64,18.92,5905393
san isidro,ph,8.263428896457071,124.64107505081586,77,90,64,2.59,1689635
aswan,eg,22.90972427349132,30.119291708224893,88.21,36,0,8.63,359792
butaritari,ki,22.977792422146493,168.95452608256704,86.18,100,32,9.42,7521588
selenginsk,ru,51.59387147013999,106.82861568424681,51.8,34,0,3.94,2017059
punta arenas,cl,-68.310055338093,-100.96425887359129,35.6,80,20,8.05,3874787
nizwa,om,22.38331767004364,57.86945036357176,88.7,26,80,5.28,286987
veraval,in,15.91797826925432,67.13834892760644,91.58,52,24,11.99,1253237
sao filipe,cv,7.858940483852891,-29.25767811731771,78.08,99,0,17.02,3374210
port alfred,za,-66.65523316973186,41.23357689910867,69.67,74,8,21.83,964432
yellowknife,ca,67.09272387187897,-108.33500313336921,33.8,91,75,5.82,6185377
avesta,se,60.350352760968065,16.358614438289266,60.8,77,0,8.05,2724231
caravelas,br,-18.790486673953794,-32.559370406511306,77.81,100,8,18.59,3466980
clyde river,ca,68.34331653500027,-83.91266222995748,19.4,85,90,12.75,5924351
saskylakh,ru,69.33173835642887,115.08389006723331,30.16,89,0,7.96,2017155
cabo san lucas,mx,20.458407748218974,-109.98580280180003,77.27,100,12,10.65,3985710
ahipara,nz,-36.49058513077797,167.70126399191003,54.41,90,44,9.42,2194098
ciudad bolivar,ve,6.628035718721634,-64.00105097246734,77.36,78,24,9.42,3645532
gobabis,na,-22.646336329195194,19.367971217513457,84.2,9,0,6.93,3357247
arraial do cabo,br,-52.511038702209426,-23.16989350507643,73.94,96,80,13.11,3471451
ponta do sol,cv,19.91255588707307,-30.29279877707245,77.72,100,48,17.69,3374346
vaini,to,-48.754413869470724,-173.26497851700645,71.6,83,75,11.41,4032243
nanortalik,gl,55.74107162080094,-45.103501502725635,32.63,95,0,28.88,3421765
orange cove,us,37.711799658852144,-118.61103865855259,58.91,55,1,1.48,5379533
bluff,nz,-63.071239662288335,156.51520162164206,48.97,100,0,17.69,2206939
hithadhoo,mv,-7.320476736404103,71.89594810453565,82.67,100,24,2.71,1282256
alice springs,au,-26.134055369036545,134.23522478416425,96.8,11,44,18.34,7839681
saint george,us,36.12898281887675,-113.40455322100365,62.06,33,20,6.93,5546220
awbari,ly,25.264987049271298,12.558684727722607,94.28,18,0,6.06,2219235
suez,eg,29.824903897375748,32.98419189425084,78.35,58,0,4.61,359796
tilichiki,ru,58.13268227354288,167.96518930791456,31.51,72,80,11.21,2120591
grand-lahou,ci,4.291083478312103,-4.861809235806163,78.98,89,80,3.6,2288105
huai yot,th,7.814458958080067,99.59474301121543,86,70,20,6.93,1153241
geraldton,au,-34.897043392102574,85.17698855250933,66.2,55,75,17.22,2070998
fort nelson,ca,59.75344982362711,-125.72582185803742,35.6,69,40,4.7,5955902
payson,us,33.72476048337073,-110.96118038432371,48.2,93,90,1.48,5308305
kirakira,sb,-10.355351406953403,162.78646728144474,83.17,100,100,20.15,2178753
lennik,be,50.80172932140829,4.191884768681348,66.2,63,0,13.87,2786588
miacatlan,mx,18.85673597284118,-99.37034887740532,50,87,40,5.82,3523247
khrebtovaya,ru,57.07408031132658,104.5619413361822,49.51,44,8,3.6,2022232
kushima,jp,30.15076139505095,131.7891143315125,67.91,56,75,4.7,1895695
swinoujscie,pl,53.80797809927981,14.471210448838406,61.9,72,0,16.11,3083955
custodia,br,-8.185730031538824,-37.69916236919519,68.14,84,0,7.85,3401138
rio grande,br,-32.130398092588536,-52.184299192790604,58.69,100,0,7.18,3451138
talnakh,ru,84.91465537724397,92.48674393271108,40.24,86,80,20.6,1490256
saint george,bm,34.70966930622501,-57.24126294920539,75.2,94,90,11.41,3573062
chuy,uy,-55.65021068370005,-28.8799858924545,42.76,95,0,3.38,3443061
bredasdorp,za,-43.45293329587122,20.469533486513598,73.4,49,0,2.24,1015776
strezhevoy,ru,58.83226401943571,77.8550407753321,35.6,82,75,11.18,1490796
verkhnyaya inta,ru,65.87641897025298,60.69467199435309,35.96,77,88,5.61,1487332
tabory,ru,58.5798559961986,64.03853333405146,37.04,74,88,5.73,1490364
waipawa,nz,-43.57895115867234,178.61926432566833,50,66,0,16.11,2206874
gloversville,us,42.93487575672401,-74.48121920176223,37.92,85,40,3.6,5118743
mount gambier,au,-47.07628803097738,133.5430389433979,71.69,61,92,8.19,7839440
bingol,tr,38.82086602588302,40.469186019198816,73.36,38,0,3.15,321082
new norfolk,au,-63.309659140829595,135.66704408315132,62.6,67,20,14.99,2155415
koumac,nc,-23.47615030195054,160.44651499275648,73.27,85,76,15.01,2140556
luderitz,na,-31.40077552426372,8.378648072666863,66.2,59,0,10.29,3355672
bilma,ne,21.16924165326631,13.3859663943457,97.79,15,0,9.75,2446796
iqaluit,ca,57.18232954688037,-68.50794752484231,24.8,85,75,8.05,5983720
gasa,bt,28.888982674493377,90.07071230207089,34.61,38,0,3.6,7303651
qaanaaq,gl,75.72315179998992,-87.91376162337457,16.39,100,56,11.43,3831208
grafton,us,48.22243207139266,-97.50393401911364,40.23,93,1,3.36,5191598
svetlogorsk,ru,67.32378434519202,90.0203285465409,32.54,93,92,34.36,1490516
isangel,vu,-22.62075165804484,179.39342121130363,75.83,99,88,22.95,2136825
shagonar,ru,52.38029928198884,92.72834098396447,52.88,71,12,2.59,1492499
soto la marina,mx,23.538723705059724,-98.53115172661585,76.91,85,36,6.96,3516522
aklavik,ca,67.0271649951446,-136.66975350771608,30.2,80,90,6.93,5882953
ilulissat,gl,73.16058160979165,-45.127762328829334,24.8,73,56,13.87,3423146
atambua,id,-8.23061889414879,124.1498215605539,85.64,75,0,4.94,1651103
alyangula,au,-14.594232618981778,136.53072174019775,83.57,89,0,15.79,2079582
bambous virieux,mu,-28.305975534803096,79.15890800266124,78.8,61,20,11.41,1106677
saldanha,za,-36.061817394681455,3.845211402785935,64.4,72,48,14.99,3361934
tabou,ci,-3.287231040357497,-6.315276973192795,75.02,100,76,2.93,2281120
cape town,za,-55.43042044903579,-8.45209071458001,64.4,63,75,21.92,3369157
kurilsk,ru,45.35044401117355,147.2141930438284,50.86,98,20,8.63,2123979
mabai,cn,22.821700827357958,104.65925758673677,73.31,73,0,2.71,1818004
atuona,pf,-1.178696557143823,-127.5111962536663,79.07,100,68,18.59,4020109
bam,ir,28.575013853004393,58.68772931482087,77.86,24,32,5.73,141736
hobart,au,-61.11439955350709,141.46728073598837,62.6,67,20,14.99,2163355
glendive,us,46.7845785470343,-105.21173959574409,23,67,90,18.34,5654391
east london,za,-84.49176193609438,59.514103200742085,69.8,56,0,20.8,1006984
yuzhnyy,ru,53.47993001740846,60.175598353836506,67.46,40,0,12.77,802473
kedrovyy,ru,57.44339676824313,80.36807568287628,39.16,56,12,5.95,1540484
oxford,ca,45.48721692387193,-63.67473260820857,36.59,88,0,8.41,6095779
port elizabeth,za,-59.24529975996782,30.859511434820575,67.82,91,64,29.44,964420
lebu,cl,-34.59889340434073,-98.51946022171116,50.41,100,48,8.41,3883457
ca mau,vn,9.422609385157187,105.11376195100746,83.39,90,24,8.52,1586443
axim,gh,-3.212111266019491,-2.216626133576,78.17,100,88,2.82,2303611
kuhdasht,ir,33.88636919127167,47.61424006583175,83.75,21,0,3.71,126409
bodden town,ky,17.689782226082443,-80.99508853393019,83.26,100,64,16.24,3580733
padang,id,-5.90863666756826,94.56083859301418,81.05,100,48,3.71,1633419
tezu,in,29.76882871189558,97.78630319721725,67.69,77,36,1.7,1254709
aki,jp,33.72283575927233,133.78238620416153,68,56,75,3.36,1865449
saint-philippe,re,-73.2553934378434,75.54202657443122,77.72,51,0,16.11,6690301
iisalmi,fi,63.97914743566179,26.94923235640158,62.6,72,0,16.11,656821
pevek,ru,86.618038985807,175.0312237733212,29.66,100,48,7.85,2122090
dikson,ru,74.6234527066529,83.76098936527745,34.39,100,88,15.68,1507390
avarua,ck,-50.37679324200203,-161.98064388101253,75.2,83,75,15.01,4035715
